hour,day_of_week,Vehicles
0,0,18.98701298701299
0,1,23.303030303030305
0,2,23.714285714285715
0,3,23.273127753303964
0,4,23.82819383259912
0,5,22.12775330396476
0,6,18.575757575757574
1,0,15.463203463203463
1,1,19.896103896103895
1,2,20.251082251082252
1,3,19.506607929515418
1,4,19.94273127753304
1,5,18.09691629955947
1,6,15.03896103896104
2,0,13.74025974025974
2,1,17.744588744588743
2,2,17.83116883116883
2,3,17.281938325991188
2,4,17.088105726872246
2,5,15.71806167400881
2,6,12.935064935064934
3,0,12.567099567099566
3,1,15.562770562770563
3,2,15.48917748917749
3,3,15.268722466960352
3,4,14.814977973568283
3,5,13.295154185022026
3,6,11.376623376623376
4,0,11.575757575757576
4,1,13.51082251082251
4,2,13.181818181818182
4,3,13.352422907488986
4,4,12.845814977973568
4,5,11.519823788546255
4,6,10.341991341991342
5,0,11.173160173160174
5,1,12.428571428571429
5,2,12.372294372294371
5,3,12.348017621145374
5,4,12.101321585903083
5,5,10.41409691629956
5,6,9.445887445887445
6,0,12.069264069264069
6,1,13.502164502164502
6,2,13.2987012987013
6,3,13.123348017621145
6,4,12.559471365638766
6,5,10.37885462555066
6,6,9.714285714285714
7,0,14.147186147186147
7,1,15.207792207792208
7,2,14.93939393939394
7,3,14.859030837004406
7,4,14.484581497797357
7,5,11.295154185022026
7,6,10.675324675324676
8,0,15.831168831168831
8,1,16.904761904761905
8,2,16.51082251082251
8,3,16.198237885462554
8,4,16.07488986784141
8,5,12.713656387665198
8,6,12.233766233766234
9,0,19.406926406926406
9,1,19.71861471861472
9,2,19.645021645021647
9,3,19.09691629955947
9,4,19.348017621145374
9,5,14.85022026431718
9,6,14.567099567099566
10,0,25.761904761904763
10,1,24.952380952380953
10,2,24.303030303030305
10,3,24.444933920704845
10,4,24.54625550660793
10,5,18.09251101321586
10,6,16.225108225108226
11,0,29.874458874458874
11,1,27.90909090909091
11,2,28.562770562770563
11,3,27.929515418502202
11,4,27.718061674008812
11,5,18.973568281938327
11,6,17.48051948051948
12,0,30.82251082251082
12,1,29.00865800865801
12,2,29.0
12,3,28.797356828193834
12,4,28.779735682819382
12,5,18.92511013215859
12,6,17.761904761904763
13,0,27.26839826839827
13,1,25.813852813852815
13,2,26.11255411255411
13,3,25.66079295154185
13,4,25.475770925110133
13,5,17.98237885462555
13,6,16.9004329004329
14,0,29.935064935064936
14,1,28.714285714285715
14,2,28.783549783549784
14,3,28.480176211453745
14,4,27.643171806167402
14,5,17.6784140969163
14,6,16.926406926406926
15,0,30.164502164502164
15,1,29.207792207792206
15,2,28.83116883116883
15,3,28.82819383259912
15,4,27.387665198237887
15,5,17.497797356828194
15,6,16.636363636363637
16,0,28.774891774891774
16,1,28.116883116883116
16,2,27.432900432900432
16,3,27.748898678414097
16,4,26.330396475770925
16,5,17.46696035242291
16,6,16.783549783549784
17,0,28.2987012987013
17,1,28.004329004329005
17,2,27.3982683982684
17,3,27.31718061674009
17,4,25.502202643171806
17,5,17.63876651982379
17,6,17.26839826839827
18,0,29.056277056277057
18,1,28.818181818181817
18,2,28.09691629955947
18,3,29.12775330396476
18,4,26.73127753303965
18,5,19.308370044052865
18,6,19.125541125541126
19,0,30.48917748917749
19,1,30.10822510822511
19,2,29.863436123348016
19,3,30.647577092511014
19,4,28.048458149779737
19,5,23.211453744493394
19,6,21.35930735930736
20,0,29.549783549783548
20,1,29.26839826839827
20,2,29.718061674008812
20,3,29.47136563876652
20,4,26.938325991189426
20,5,26.77533039647577
20,6,22.606060606060606
21,0,28.32034632034632
21,1,28.056277056277057
21,2,28.259911894273127
21,3,27.718061674008812
21,4,25.621145374449338
21,5,24.801762114537446
21,6,21.593073593073594
22,0,27.4978354978355
22,1,27.424242424242426
22,2,27.599118942731277
22,3,27.044052863436125
22,4,24.475770925110133
22,5,22.920704845814978
22,6,21.493506493506494
23,0,25.68831168831169
23,1,25.307359307359306
23,2,25.52863436123348
23,3,25.45814977973568
23,4,23.11453744493392
23,5,21.11894273127753
23,6,20.88744588744589
